,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
action_bullet_trigger,Magic arrow with trigger,Волшебная стрела с активацией,Flecha magica com gatilho,Flecha magica activada,Magischer Pfeil mit Ausloser,Fleche magique a declenchement,?有??的魔法箭,トリガ?付きの魔法の矢,트리거가 있는 마법 화살,,,,
actiondesc_bullet_trigger,A magical arrow that casts another spell upon collision,"Волшебная стрела, при столкновении вызывает другое заклинание",Uma flecha magica que lanca outro feitico no impacto.,Una flecha magica que lanza otro hechizo al impactar,"Ein magischer Pfeil, der nach dem Aufprall einen weiteren Zauber auslost",Une fleche magique qui lance un autre sort a l'impact,在?撞?施放?一法?的魔法箭,接?時にもう1つの呪文をかける魔法の矢,충돌 시 다른 주문을 시전하는 마법 화살입니다.,,,,
action_bullet_timer,Magic arrow with timer,Волшебная стрела с таймером,Flecha magica com cronometro,Flecha magica con temporizador,Magischer Pfeil mit Timer,Fleche magique minutee,?有定?的魔法箭,タイマ?付きの魔法の矢,타이머가 있는 마법 화살,,,,
actiondesc_bullet_timer,A magical arrow that casts another spell after a timer runs out,"Волшебная стрела, через определенное время вызывает другое заклинание",Uma flecha magica que lanca outro feitico quando o tempo acaba.,Una flecha magica que lanza otro hechizo cuando se agota el tiempo,"Ein magischer Pfeil, der einen weiteren Zauber auslost, nachdem ein Timer ablauft",Une fleche magique qui lance un autre sort a la fin d'une minuterie,在定??束后施放?一法?的魔法箭,時間切れになった後にもう1つの呪文をかける魔法の矢,타이머가 만료되면 다른 주문을 시전하는 마법 화살입니다.,,,,
action_heavy_bullet,Magic bolt,Волшебная молния,Virote magico,Rayo magico,Magischer Blitz,Trait magique,魔法?,魔法のボルト,마법 볼트,,,,
actiondesc_heavy_bullet,A powerful magical projectile,Мощный волшебный снаряд,Um projetil magico e poderoso.,Un poderoso proyectil magico,Eine machtiges magisches Projektil,Un puissant projectile magique,强力的魔法投射物,?力な魔法の放射物,강력한 마법 발사체입니다.,,,,
action_heavy_bullet_trigger,Magic bolt with trigger,Волшебная молния с активацией,Virote magico com gatilho,Rayo magico activado,Magischer Blitz mit Ausloser,Trait magique a declenchement,?有??的魔法?,トリガ?付きの魔法のボルト,트리거가 있는 마법 볼트,,,,
actiondesc_heavy_bullet_trigger,A bolt that casts another spell upon collision,"Молния, при столкновении вызывает другое заклинание",Um virote que lanca outro feitico no impacto.,Un rayo magico que lanza otro hechizo al impactar,"Ein Blitz, der nach dem Aufprall einen weiteren Zauber auslost.",Un trait magique qui lance un autre sort a l'impact,在?撞?施放?一法?的魔法?,接?時にもう1つの呪文をかけるボルト,충돌 시 다른 주문을 시전하는 마법 볼트입니다.,,,,
action_heavy_bullet_timer,Magic bolt with timer,Волшебная молния с таймером,Virote magico com cronometro,Rayo magico con temporizador,Magischer Blitz mit Timer,Trait magique minute,?有定?的魔法?,タイマ?付きの魔法のボルト,타이머가 있는 마법 볼트,,,,
actiondesc_heavy_bullet_timer,A bolt that casts another spell after a timer runs out,"Молния, через определенное время вызывает другое заклинание",Um virote que lanca outro feitico quando o tempo acaba.,Un rayo magico que lanza otro hechizo cuando se agota el tiempo,"Ein Blitz, der einen weiteren Zauber auslost, nachdem ein Timer ablauft",Un trait magique qui lance un autre sort a la fin d'une minuterie,在定??束后施放?一法?的魔法?,時間切れになった後にもう1つの呪文をかけるボルト,타이머가 만료되면 다른 주문을 시전하는 마법 볼트입니다.,,,,
action_slow_bullet,Energy orb,Энергетический шар,Orbe de energia,Orbe de energia,Energiekugel,Orbe energetique,能量球,エネルギ?オ?ブ,에너지 오브,,,,
actiondesc_slow_bullet,A slow but powerful orb of energy,"Медленный, но мощный шар энергии.","Um orbe de energia lento, porem poderoso.",Un lento pero poderoso orbe de energia.,"Eine langsame, aber machtige Energiekugel.",Un orbe energetique lent mais puissant,?慢而强大的能量球?,ゆっくりだが?力なエネルギ?のオ?ブ。,느리지만 강력한 에너지 오브입니다.,,,,
action_slow_bullet_trigger,Energy orb with a trigger,Энергетический шар с активацией,Orbe de energia com gatilho,Orbe de energia activado,Energiekugel mit Ausloser,Orbe energetique a declenchement,?有??的能量球,トリガ?付きのオ?ブ,트리거가 있는 에너지 오브,,,,
actiondesc_slow_bullet_trigger,A slow but powerful orb of energy that casts another spell upon collision,"Медленный, но мощный шар энергии, при столкновении вызывает другое заклинание","Um orbe de energia lento, porem poderoso que lanca outro feitico no impacto.",Un lento pero poderoso orbe de energia que lanza otro hechizo al impactar,"Eine langsame, aber machtige Energiekugel, die nach dem Aufprall einen weiteren Zauber auslost",Un orbe energetique lent mais puissant qui lance un autre sort a l'impact,?慢而强大的能量球?，在?撞?施放?一法?,ゆっくりだが?力なエネルギ?のオ?ブで、接?時にもう1つの呪文をかける,느리지만 강력한 에너지 오브입니다. 충돌 시 다른 주문을 시전합니다.,,,,
action_slow_bullet_timer,Energy orb with a timer,Энергетический шар с таймером,Orbe de energia com cronometro,Orbe de energia con temporizador,Energiekugel mit Timer,Orbe energetique minute,?有定?的能量球,タイマ?付きのオ?ブ,타이머가 있는 에너지 오브,,,,
actiondesc_slow_bullet_timer,A slow but powerful orb of energy with a timer,"Медленный, но мощный шар энергии, с таймером","Um orbe de energia lento, porem poderoso com um cronometro.",Un lento pero poderoso orbe de energia con temporizador,"Eine langsame, aber machtige Energiekugel mit Timer",Un orbe energetique lent mais puissant avec une minuterie,?慢而强大的能量球?，?有定?,ゆっくりだが?力な、タイマ?付きのエネルギ?のオ?ブ。,느리지만 강력한 에너지 오브입니다. 타이머가 만료되면 다른 주문을 시전합니다.,,,,
action_black_hole,Black hole,Черная дыра,Buraco negro,Agujero negro,Schwarzes Loch,Trou noir,黑洞,ブラックホ?ル,블랙홀,,,,
actiondesc_black_hole,A slow orb of void that eats through all obstacles,"Медленный шар пустоты, пожирающий препятствия",Um orbe de limbo lento que suga todos os obstaculos.,Un lento orbe de vacio que devora todo a su paso,"Eine langsame Kugel der Leere, die sich durch alle Hindernisse frisst",Un orbe de neant lent qui devore tous les obstacles,?慢的?无球?，???沿路的一切障碍,全ての障害物を?み?んでいく、ゆっくりとした空間のオ?ブ,모든 장애물을 먹어치우는 느린 무의 구체입니다.,,,,
action_black_hole_big,Giga black hole,Огромная черная дыра,Buraco negro gigante,Agujero negro gigante,Gigantisches schwarzes Loch,Giga trou noir,巨大黑洞,ギガブラックホ?ル,거대한 블랙홀,,,,
actiondesc_black_hole_big,A growing orb of negative energy that destroys everything in its reach,"Растущий шар негативной энергии, разрушающий всё в пределах ее досягаемости",Um orbe crescente de energia negativa que destroi tudo em seu alcance.,Un orbe de energia negativa creciente que destruye todo a su paso,"Eine wachsende Kugel aus negativer Energie, die alles in ihrer Reichweite vernichtet",Un orbe grandissant d'energie negative qui detruit tout ce qu'il touche,不?增?的?面能量球?，?毁所及的一切,到達範?にあるもの全てを破?して行く、成長するマイナスエネルギ?のオ?ブ,점점 커지는 음의 에너지 구체가 닿는 모든 것들을 파괴합니다.,,,,
action_decoy,Decoy,Приманка,Isca,Senuelo,Koder,Leurre,??,?,미끼,,,,
actiondesc_decoy,Creates a decoy for distracting enemies,"Создает отвлекающую врагов приманку,",Cria uma isca para distrair inimigos.,Crea un senuelo que distrae enemigos,Erstellt einen Koder zur Ablenkung von Feinden,Cree un leurre qui attire l'attention des ennemis,制作一?吸引?人的??,敵の注意を引くための?を作り出す,적의 주의를 분산하는 미끼를 생성합니다.,,,,
action_decoy_trigger,Decoy with trigger,Приманка с активацией,Isca com gatilho,Senuelo activado,Koder mit Ausloser,Leurre a declenchement,?有??的??,トリガ?付きの?,트리거가 있는 미끼,,,,
actiondesc_decoy_trigger,Creates a decoy for distracting enemies that casts another spell after a timer runs out,"Создает отвлекающую врагов приманку, через определенное время вызывает другое заклинание",Cria uma isca para distrair inimigos que lanca outro feitico quando o tempo acaba.,Crea un senuelo que distrae enemigos que lanza otro hechizo cuando se agota el tiempo,"Erstellt einen Koder zur Ablenkung von Feinden, der einen weiteren Zauber auslost, nachdem ein Timer ablauft",Cree un leurre qui lance un autre sort a la fin d'une minuterie pour distraire les ennemis,制造一?吸引?人的??，在?去一段??后施放?一法?,時間切れになった後にもう1つの呪文をかけ、敵の注意を引く?を作り出す,타이머가 만료되면 다른 주문을 시전하는 미끼입니다.,,,,
action_spitter,Spitter bolt,Молния-плевок,Virote cuspidor,Mini rayo,Zundschnurblitz,Trait cracheur,分裂?,スピッタ?ボルト,스피터 볼트,,,,
actiondesc_spitter,A short-lived magical bolt,Недолговечная волшебная молния,Um breve virote magico.,Un proyectil magico de corta duracion,Ein kurzlebiger magischer Blitz,Un trait magique ephemere,?命短?的魔法?,短命の魔法のボルト,금방 없어지는 마법 볼트입니다.,,,,
action_spitter_timer,Spitter bolt with timer,Молния-плевок с таймером,Virote cuspidor com cronometro,Mini rayo con temporizador,Zundschnurblitz mit Timer,Trait cracheur minute,?有定?的分裂?,タイマ?付きのスピッタ?ボルト,타이머가 있는 스피터 볼트,,,,
actiondesc_spitter_timer,A short-lived magical bolt that casts another spell after a timer runs out,"Недолговечная волшебная молния, через определенное время вызывает другое заклинание",Um breve virote magico que lanca outro feitico quando o tempo acaba.,Un mini rayo que lanza otro hechizo cuando se agota el tiempo,"Ein kurzlebiger magischer Blitz, der einen weiteren Zauber auslost, nachdem ein Timer ablauft",Un trait magique ephemere qui lance un autre sort a la fin d'une minuterie,在?去一段??后施放?一法?的?命短?魔法?,時間切れになった後にもう1つの呪文をかける、短命の魔法ボルト,금방 없어지는 마법 볼트입니다. 타이머가 만료되면 다른 주문을 시전합니다.,,,,
action_bubbleshot,Bubble spark,Пузырьковая искра,Fagulha de bolha,Chispa burbuja,Sprudelfunken,Bulle-etincelle,泡泡火花,バブルスパ?ク,버블 불꽃,,,,
actiondesc_bubbleshot,A bouncy but inaccurate spell,"Хорошо отскакивающее, но неточное заклинание",Um feitico ricocheteante e impreciso.,Un hechizo rebotador de poca precision,"Ein umherspringender, aber unpraziser Zauber",Un sort a rebonds mais peu precis,?性十足但不?准?的法?,バウンドするが、正確ではない呪文,튕겨 다니지만 명중률이 낮은 주문입니다.,,,,
action_bubbleshot_trigger,Bubble spark with trigger,Пузырьковая искра с активацией,Fagulha de bolha com gatilho,Chispa burbuja activada,Sprudelfunken mit Ausloser,Bulle-etincelle a declenchement,?有??的泡泡火花,トリガ?付きのバブルスパ?ク,트리거가 있는 버블 불꽃,,,,
